timestamp,user_id,content_id,content_type_id,task_container_id,user_answer,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,bundle_id,correct_answer,part,tags,tag,type_of,user_count,user_count_bin,target_enc_content_id,is_part5,part5_cumsum,sum_ans
0,2146672950,4773,0,0,1,1.0,,,4773,1,5,180,-1,,0,0,0.7694214876033058,1,1,1.0
14088,2146672950,5564,0,1,3,1.0,19000.0,False,5564,3,5,8,-1,,1,0,0.8776978417266187,1,2,2.0
42202,2146672950,7904,0,2,1,0.0,9000.0,False,7904,2,1,10 164 81,-1,,2,0,0.3997776954427566,0,2,2.0
77230,2146672950,8585,0,3,1,1.0,24000.0,False,8585,1,5,73,-1,,3,0,0.3940520446096654,1,3,3.0
104869,2146672950,6111,0,4,1,1.0,30000.0,False,6111,1,5,53,-1,,4,0,0.6019736842105263,1,4,4.0
133261,2146672950,9200,0,5,3,0.0,23000.0,False,9200,2,5,96,-1,,5,0,0.2276176024279211,1,5,4.0
161785,2146672950,8599,0,6,1,0.0,25000.0,False,8599,0,5,53,-1,,6,0,0.4799301919720768,1,6,4.0
200566,2146672950,4094,0,7,2,0.0,25000.0,False,4094,1,5,1,-1,,7,0,0.34866163349347973,1,7,4.0
240991,2146672950,9166,0,8,0,0.0,35000.0,False,9166,3,5,1,-1,,8,0,0.25,1,8,4.0
259808,2146672950,9818,0,9,3,0.0,36000.0,False,9818,0,5,73,-1,,9,0,0.2885304659498208,1,9,4.0
4080916,2146672950,904,0,10,1,0.0,14000.0,False,904,3,2,143 141 81 92,-1,,10,0,0.5129390018484289,0,9,4.0
4122638,2146672950,538,0,11,0,0.0,18000.0,True,538,1,2,155 163 162 38 102,-1,,11,0,0.6134606639381537,0,9,4.0
4163486,2146672950,525,0,12,0,1.0,19000.0,True,525,0,2,2 107 92 102,-1,,12,0,0.5661127167630058,0,9,5.0
4202296,2146672950,1314,0,13,1,0.0,18000.0,True,1314,3,2,138 41 38 102,-1,,13,0,0.4984709480122324,0,9,5.0
4231563,2146672950,640,0,14,1,1.0,19000.0,True,640,1,2,137 88 38 92,-1,,14,0,0.6432068543451652,0,9,6.0
4263807,2146672950,1296,0,15,3,0.0,18000.0,True,1296,0,2,143 105 38 102,-1,,15,0,0.7136133867875196,0,9,6.0
4298525,2146672950,877,0,16,3,0.0,19000.0,True,877,0,2,143 140 6 38 92,-1,,16,0,0.4980120559189432,0,9,6.0
4329906,2146672950,1291,0,17,1,0.0,17000.0,True,1291,3,2,143 176 38 102,-1,,17,0,0.7180986273512964,0,9,6.0
4359103,2146672950,948,0,18,3,0.0,19000.0,True,948,1,2,138 41 81 92,-1,,18,0,0.6376681614349776,0,9,6.0
4387924,2146672950,1313,0,19,3,0.0,17000.0,True,1313,0,2,17 56 92 102,-1,,19,0,0.48765855330819335,0,9,6.0
4416934,2146672950,216,0,20,0,0.0,15000.0,True,216,1,2,143 105 38 102,-1,,20,0,0.7769784172661871,0,9,6.0
4443706,2146672950,853,0,21,3,0.0,18000.0,True,853,0,2,129 143 30 38 102,-1,,21,0,0.4102029469001946,0,9,6.0
4619918,2146672950,2282,1,22,-1,,,False,-1,-1,2,,134,concept,22,0,0.8897280966767371,0,9,
4673821,2146672950,9,0,23,2,0.0,18000.0,True,9,3,1,10 164 81,-1,,23,0,0.30010515247108305,0,9,6.0
4719051,2146672950,10390,0,24,2,0.0,26000.0,True,10390,0,1,131 13 38,-1,,24,0,0.35450819672131145,0,9,6.0
4765570,2146672950,10627,0,25,0,0.0,24000.0,True,10627,2,1,131 130 38,-1,,25,0,0.5896607431340872,0,9,6.0
4813432,2146672950,11859,0,26,1,1.0,28000.0,True,11859,1,1,10 70 81,-1,,26,0,0.5718562874251497,0,9,7.0
4867012,2146672950,10457,0,27,2,0.0,23000.0,True,10457,3,1,51 131 102,-1,,27,0,0.34177215189873417,0,9,7.0
4910896,2146672950,58,0,28,3,0.0,27000.0,True,58,0,1,10 164 92,-1,,28,0,0.38049713193116635,0,9,7.0
4957202,2146672950,1118,0,29,3,1.0,20000.0,True,1118,3,2,62 155 163 38 29,-1,,29,0,0.6890574214517876,0,9,8.0
4995517,2146672950,1202,0,30,1,1.0,18000.0,True,1202,1,2,143 62 20 92 102,-1,,30,1,0.7100782328578003,0,9,9.0
5036342,2146672950,1036,0,31,1,0.0,18000.0,True,1036,0,2,90 100 92 29,-1,,31,1,0.4013360739979445,0,9,9.0
5071108,2146672950,447,0,32,1,0.0,19000.0,True,447,0,2,62 155 163 162 92 102,-1,,32,1,0.6507692307692308,0,9,9.0
5099211,2146672950,1053,0,33,3,0.0,16000.0,True,1053,1,2,137 88 92 102,-1,,33,1,0.7458515283842795,0,9,9.0
5130254,2146672950,287,0,34,1,1.0,16000.0,True,287,1,2,143 140 38 81,-1,,34,1,0.6983298538622129,0,9,10.0
5163892,2146672950,1122,0,35,0,1.0,19000.0,True,1122,0,2,143 114 38 92,-1,,35,1,0.6798469387755102,0,9,11.0
5196957,2146672950,707,0,36,3,0.0,17000.0,True,707,1,2,2 107 38 29,-1,,36,1,0.7049965776865161,0,9,11.0
5227381,2146672950,446,0,37,0,0.0,18000.0,True,446,1,2,69 17 56 38 92,-1,,37,1,0.5767487046632125,0,9,11.0
5254803,2146672950,738,0,38,0,0.0,18000.0,True,738,1,2,143 30 62 38 81,-1,,38,1,0.37954616101958344,0,9,11.0
5285388,2146672950,427,0,39,0,1.0,18000.0,True,427,0,2,143 114 38 102,-1,,39,1,0.6157372039724981,0,9,12.0
5319683,2146672950,1334,0,40,0,1.0,20000.0,True,1334,0,2,143 20 92 102,-1,,40,1,0.6500612494895875,0,9,13.0
5521716,2146672950,21887,1,41,-1,,,False,-1,-1,2,,23274,concept,41,1,,0,9,
15342230,2146672950,7904,0,42,3,0.0,19000.0,True,7904,2,1,10 164 81,-1,,42,1,0.3997776954427566,0,9,13.0
15375644,2146672950,904,0,43,3,1.0,23000.0,True,904,3,2,143 141 81 92,-1,,43,1,0.5129390018484289,0,9,14.0
15406160,2146672950,538,0,44,3,0.0,19000.0,True,538,1,2,155 163 162 38 102,-1,,44,1,0.6134606639381537,0,9,14.0
15438760,2146672950,1314,0,45,0,0.0,18000.0,True,1314,3,2,138 41 38 102,-1,,45,1,0.4984709480122324,0,9,14.0
15466771,2146672950,1296,0,46,0,1.0,18000.0,True,1296,0,2,143 105 38 102,-1,,46,1,0.7136133867875196,0,9,15.0
