timestamp,user_id,content_id,content_type_id,task_container_id,user_answer,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,bundle_id,correct_answer,part,tags,tag,type_of,user_count,user_count_bin,target_enc_content_id,is_part5,part5_cumsum,sum_ans
0,2146590530,6344,0,0,3,0.0,,,6344,0,5,116,-1,,0,0,0.8049645390070922,1,1,0.0
32042,2146590530,4624,0,1,3,0.0,27000.0,False,4624,2,5,79,-1,,1,0,0.5481927710843374,1,2,0.0
62441,2146590530,5511,0,2,1,1.0,25000.0,False,5511,1,5,89,-1,,2,0,0.5675324675324676,1,3,1.0
119264,2146590530,367,0,3,0,1.0,25000.0,False,367,0,2,143 62 176 92 102,-1,,3,0,0.7785488958990536,0,3,2.0
139652,2146590530,747,0,4,0,0.0,20000.0,False,747,1,2,138 41 38 81,-1,,4,0,0.64,0,3,2.0
169141,2146590530,5299,0,5,0,0.0,16000.0,False,5299,2,5,55,-1,,5,0,0.4715447154471545,1,4,2.0
192124,2146590530,388,0,6,3,0.0,25000.0,False,388,1,2,143 71 29 102,-1,,6,0,0.7260536398467433,0,4,2.0
215687,2146590530,741,0,7,1,0.0,18000.0,False,741,0,2,143 62 88 92 29,-1,,7,0,0.6858638743455497,0,4,2.0
251317,2146590530,644,0,8,3,0.0,19000.0,False,644,1,2,100 155 38 81,-1,,8,0,0.7291196388261851,0,4,2.0
270856,2146590530,405,0,9,0,0.0,31000.0,False,405,1,2,17 56 38 92,-1,,9,0,0.5928133514986376,0,4,2.0
543202,2146590530,702,0,10,3,0.0,14000.0,False,702,1,2,138 41 81 29,-1,,10,0,0.682062298603652,0,4,2.0
629987,2146590530,378,0,11,1,1.0,19000.0,True,378,1,2,90 100 38 102,-1,,11,0,0.911976911976912,0,4,3.0
736081,2146590530,702,0,13,1,1.0,15000.0,True,702,1,2,138 41 81 29,-1,,12,0,0.682062298603652,0,4,4.0
834327,2146590530,4037,0,15,0,0.0,13000.0,True,4037,1,5,7,-1,,13,0,0.6348511383537653,1,5,4.0
13591689,2146590530,6114,0,16,0,1.0,23000.0,True,6114,0,5,167,-1,,14,0,0.4585843373493976,1,6,5.0
26343896,2146590530,5690,0,17,0,1.0,36000.0,True,5690,0,5,152,-1,,15,0,0.8207979071288424,1,7,6.0
26397684,2146590530,8341,0,18,1,0.0,33000.0,True,8341,3,5,53,-1,,16,0,0.5591397849462365,1,8,6.0
26449594,2146590530,9259,0,19,3,0.0,43000.0,True,9259,2,5,31,-1,,17,0,0.4589558232931727,1,9,6.0
26477588,2146590530,3717,0,20,3,0.0,41000.0,True,3717,1,5,57,-1,,18,0,0.5560772739468741,1,10,6.0
26506740,2146590530,4995,0,21,2,0.0,17000.0,True,4995,3,5,172,-1,,19,0,0.49344692005242463,1,11,6.0
26593531,2146590530,8608,0,22,3,1.0,19000.0,True,8608,3,5,65,-1,,20,0,0.5019417475728155,1,12,7.0
26675756,2146590530,6262,0,23,3,0.0,78000.0,True,6262,0,5,123,-1,,21,0,0.7489029741589469,1,13,7.0
26704885,2146590530,5138,0,24,1,0.0,73000.0,True,5138,0,5,8,-1,,22,0,0.7540983606557377,1,14,7.0
49911486,2146590530,9259,0,25,2,1.0,20000.0,True,9259,2,5,31,-1,,23,0,0.4589558232931727,1,15,8.0
50045703,2146590530,5138,0,26,0,1.0,40000.0,True,5138,0,5,8,-1,,24,0,0.7540983606557377,1,16,9.0
87609656,2146590530,5202,0,27,1,0.0,71000.0,True,5202,3,5,108,-1,,25,0,0.5249466950959488,1,17,9.0
87698691,2146590530,8668,0,28,1,0.0,36000.0,True,8668,3,5,73,-1,,26,0,0.9516483516483516,1,18,9.0
87775567,2146590530,5853,0,29,2,1.0,45000.0,True,5853,2,5,66,-1,,27,0,0.654562383612663,1,19,10.0
88039957,2146590530,4543,0,30,0,1.0,41000.0,True,4543,0,5,55,-1,,28,0,0.5917808219178082,1,20,11.0
88099263,2146590530,4010,0,31,2,0.0,35000.0,True,4010,3,5,72,-1,,29,0,0.6836327345309381,1,21,11.0
88169630,2146590530,8717,0,32,1,0.0,28000.0,True,8717,3,5,174,-1,,30,1,0.702803738317757,1,22,11.0
4267279888,2146590530,248,0,12,1,0.0,37000.0,True,248,0,2,69 138 41 29 102,-1,,31,1,0.8215568862275449,0,22,11.0
4267319808,2146590530,248,0,14,0,1.0,21000.0,True,248,0,2,69 138 41 29 102,-1,,32,1,0.8215568862275449,0,22,12.0
5487590836,2146590530,6106,0,33,2,1.0,16000.0,True,6106,2,5,58,-1,,33,1,0.636698599852616,1,23,13.0
7010959025,2146590530,5235,0,34,2,0.0,49000.0,True,5235,0,5,14,-1,,34,1,0.556745182012848,1,24,13.0
8533953560,2146590530,294,0,35,1,0.0,27000.0,True,294,3,2,155 119 38 81,-1,,35,1,0.8680048661800487,0,24,13.0
8534001049,2146590530,341,0,36,0,0.0,22000.0,True,341,3,2,17 56 162 38 92,-1,,36,1,0.8269230769230769,0,24,13.0
8534056009,2146590530,209,0,37,3,0.0,18000.0,True,209,1,2,100 148 38 102,-1,,37,1,0.5445275322909585,0,24,13.0
8534129285,2146590530,711,0,38,0,0.0,19000.0,True,711,3,2,129 143 30 38 92,-1,,38,1,0.8788732394366198,0,24,13.0
8534201917,2146590530,10685,0,39,0,1.0,19000.0,True,10685,0,2,69 137 142 38 29,-1,,39,1,0.7976041340432195,0,24,14.0
8534246872,2146590530,197,0,40,1,1.0,22000.0,True,197,1,2,90 100 92 102,-1,,40,1,0.7719688542825361,0,24,15.0
8534356643,2146590530,5177,0,41,2,0.0,18000.0,False,5177,1,5,167,-1,,41,1,0.493166618202966,1,25,15.0
