,timestamp,user_id,content_id,content_type_id,task_container_id,user_answer,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,question_id,bundle_id,correct_answer,part,tags,tag,type_of,target_enc_user_id,reverse_prior_question_had_explanation,session0_sum
2405902,0,518865790,7900,0,0,1,0.0,,,7900,7900,0,1,131 93 81,-1,,,False,2101
2405903,18952,518865790,6420,0,1,2,0.0,53000.0,False,6420,6420,0,5,79,-1,,0.0,True,2101
2405904,135472981,518865790,5880,0,2,1,1.0,17000.0,False,5880,5880,1,5,89,-1,,0.0,True,2101
2405905,135548882,518865790,855,0,3,1,1.0,21000.0,False,855,855,1,2,2 107 62 38 102,-1,,0.3333333333333333,True,2101
2405906,135569239,518865790,753,0,4,1,1.0,72000.0,False,753,753,1,2,2 107 92 29,-1,,0.5,True,2101
2405907,135592317,518865790,1321,0,5,3,1.0,17000.0,False,1321,1321,3,2,137 88 92 102,-1,,0.6,True,2101
2405908,135621494,518865790,218,0,6,3,1.0,21000.0,False,218,218,3,2,137 88 29 102,-1,,0.6666666666666666,True,2101
2405909,135641511,518865790,296,0,7,0,1.0,27000.0,False,296,296,0,2,143 114 92 29,-1,,0.7142857142857143,True,2101
2405910,135664042,518865790,7956,0,8,0,1.0,17000.0,False,7956,7956,0,1,131 149 92,-1,,0.75,True,2101
2405911,135691225,518865790,4002,0,9,0,0.0,20000.0,False,4002,4002,1,5,64,-1,,0.7777777777777778,True,2101
2405912,1565848117,518865790,4317,0,12,0,1.0,25000.0,False,4317,4317,0,5,89,-1,,0.7,True,2101
2405913,1565906839,518865790,5657,0,13,0,1.0,17000.0,True,5657,5657,0,5,26,-1,,0.7272727272727273,False,2101
2405914,1565972131,518865790,8262,0,14,1,1.0,19000.0,True,8262,8262,1,5,4,-1,,0.75,False,2101
2405915,1566009729,518865790,9837,0,15,3,0.0,17000.0,True,9837,9837,2,5,73,-1,,0.7692307692307693,False,2101
2405916,1566032606,518865790,4419,0,16,1,1.0,7000.0,True,4419,4419,1,5,44,-1,,0.7142857142857143,False,2101
2405917,1566081356,518865790,5332,0,17,0,0.0,13000.0,True,5332,5332,3,5,4,-1,,0.7333333333333333,False,2101
2405918,1566136525,518865790,4501,0,18,1,1.0,18000.0,True,4501,4501,1,5,182,-1,,0.6875,False,2101
2405919,1566159903,518865790,8971,0,19,3,0.0,18000.0,True,8971,8971,2,5,73,-1,,0.7058823529411765,False,2101
2405920,1566181153,518865790,5600,0,20,2,0.0,12000.0,True,5600,5600,0,5,49,-1,,0.6666666666666666,False,2101
2405921,1566204505,518865790,3717,0,21,1,1.0,14000.0,True,3717,3717,1,5,57,-1,,0.631578947368421,False,2101
2405922,1661698527,518865790,2811,0,10,1,1.0,9000.0,True,2811,2809,1,4,82 12 92,-1,,0.65,False,2101
2405923,1661698527,518865790,2810,0,10,3,0.0,9000.0,True,2810,2809,2,4,136 12 92,-1,,0.6666666666666666,False,2101
2405924,1661698527,518865790,2809,0,10,3,1.0,9000.0,True,2809,2809,3,4,74 12 92,-1,,0.6363636363636364,False,2101
2405925,1661829080,518865790,3052,0,22,1,0.0,23666.0,True,3052,3051,0,4,113 103 81,-1,,0.6521739130434783,False,2101
2405926,1661829080,518865790,3053,0,22,0,1.0,23666.0,True,3053,3051,0,4,157 103 81,-1,,0.625,False,2101
2405927,1661829080,518865790,3051,0,22,0,0.0,23666.0,True,3051,3051,3,4,136 103 81,-1,,0.64,False,2101
2405928,1661920831,518865790,3150,0,23,3,1.0,26666.0,True,3150,3150,3,4,106 144 162 92,-1,,0.6153846153846154,False,2101
2405929,1661920831,518865790,3151,0,23,2,0.0,26666.0,True,3151,3150,1,4,161 144 162 92,-1,,0.6296296296296297,False,2101
2405930,1661920831,518865790,3152,0,23,0,1.0,26666.0,True,3152,3150,0,4,82 144 162 92,-1,,0.6071428571428571,False,2101
2405931,1662004309,518865790,10701,0,24,0,1.0,24666.0,True,10701,10701,0,4,106 81 3,-1,,0.6206896551724138,False,2101
2405932,1662004309,518865790,10703,0,24,2,1.0,24666.0,True,10703,10701,2,4,136 81 3,-1,,0.6333333333333333,False,2101
2405933,1662004309,518865790,10702,0,24,1,0.0,24666.0,True,10702,10701,3,4,136 81 3,-1,,0.6451612903225806,False,2101
2405934,1662199494,518865790,7865,0,11,0,1.0,23000.0,True,7865,7865,0,1,10 164 38,-1,,0.625,False,2101
2405935,1662241404,518865790,130,0,25,3,1.0,19000.0,True,130,130,3,1,131 99 38,-1,,0.6363636363636364,False,2101
2405936,1662285179,518865790,7886,0,26,0,1.0,20000.0,True,7886,7886,0,1,9 10 92,-1,,0.6470588235294118,False,2101
2405937,1662322544,518865790,10569,0,27,3,1.0,22000.0,True,10569,10569,3,1,9 10 81,-1,,0.6571428571428571,False,2101
2405938,1662366455,518865790,7898,0,28,2,1.0,20000.0,True,7898,7898,2,1,131 99 29,-1,,0.6666666666666666,False,2101
2405939,1662641003,518865790,1586,0,29,1,0.0,25000.0,True,1586,1586,0,3,74 81 92,-1,,0.6756756756756757,False,2101
