timestamp,user_id,content_id,content_type_id,task_container_id,user_answer,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,correct_answer,part,tag,tags1,tags2,target_enc_user_id,count_enc_user_id,user_count_bin,target_enc_content_id,content_rate_sum_user_id,content_rate_mean_user_id,content_level_user_id,diff_content_level_target_enc_user_id,diff_rate_mean_target_emc_user_id,prior_question_elapsed_time_bin,shiftdiff_timestamp_by_user_id,mean_prior_question_elapsed_time_by_user_id,diff_mean_prior_question_elapsed_time_by_user_id,mean_content_level_user_id_by_user_id,diff_mean_content_level_user_id_by_user_id,user_rate_sum_part_2,user_rate_mean_part_2,diff_rate_mean_target_enc_part_2,user_rate_sum_part_5,user_rate_mean_part_5,diff_rate_mean_target_enc_part_5,previous_answer_index_content_id,previous_answer_content_id,ql_table2_mean,ql_table2_sum,ql_table2_max,ql_table2_min,ql_table2_last,qq_table_mean,qq_table_sum,qq_table_max,qq_table_min,qq_table_last,content_ua_table2_mean,content_ua_table2_sum,content_ua_table2_max,content_ua_table2_min,content_ua_table2_last,content_rating,user_id_rating,rating_diff_content_user_id,mean_prior_question_elapsed_time_by_content_id,diff_mean_prior_question_elapsed_time_by_content_id,target_enc_user_count_bin,target_enc___user_id____user_count_bin__,target_enc___content_id____user_count_bin__,target_enc___part____prior_question_elapsed_time_bin__,target_enc_previous_3_ans,__user_id____part___rating,rating_diff_content___user_id____part__,__user_id____tags1___rating,rating_diff_content___user_id____tags1__,__user_id____tags2___rating,rating_diff_content___user_id____tags2__,te_mean,te_max,te_min,te_std,te_peak
294126098,301590,9315,0,118,0,0.0,121000.0,1,3,5,-1,55,-1,0.4173913,118,2,,0.0,,0.4173913,0.0,,9,114147,62578.95,58421.05,0.45204523,-0.03465393,0.0,,,3.8333333,0.06084656,,-99,-99,0.51072556,0.51072556,0.51072556,0.51072556,0.51072556,0.58897805,17.080362,0.61379856,0.56751055,0.591129,0.6237619,62.37619,0.70092094,0.46094498,0.64583296,1561,1408,166,,,0.6431718,0.1764706,,0.21052632,0.45454547,1394,165,1500,-15,1396,165,0.3804211,0.6431718,0.1764706,0.1912846,0.4667012
127531,496840,9315,0,5,0,0.0,29000.0,0,3,5,-1,55,-1,1.0,5,0,0.0,-0.4173913,-0.4173913,0.70869565,-0.29130435,-1.4173913,6,30196,17750.0,11250.0,0.95854807,-0.24985242,0.0,,,1.0,1.0,1.0,-99,-99,,,,,,,,,,,0.6699005,3.3495023,0.7135145,0.61252505,0.7135145,1561,1538,36,121000.0,-92000.0,0.5018868,1.0,,0.5706215,0.7285945,1532,27,1507,-22,1532,29,0.63351715,1.0,0.0,0.374242,1.0
106290991,496840,9315,0,121,3,1.0,35000.0,1,3,5,-1,55,-1,0.6060606,137,2,0.0,-1.4173913,-0.70869565,0.67448395,0.06842333,-1.3147563,6,48118,31278.1,3721.9004,0.6370145,0.037469447,2.5,0.05952381,0.05952381,1.4166666,0.040476188,0.040476188,131,0,,,,,,,,,,,0.6525337,65.25337,0.7067708,0.46467268,0.6808496,1561,1566,8,75000.0,-40000.0,0.62187874,0.6,0.0,0.56648934,0.76,1542,17,1496,-11,1544,17,0.45063266,0.76,0.0,0.31386414,0.76
3345697249,1283420,9315,0,777,3,1.0,12000.0,1,3,5,-1,55,-1,0.784153,1130,4,0.33333334,-1.0234519,-0.34115064,0.7019012,-0.08225179,-1.1253036,3,60225,28742.713,-16742.713,0.7465358,-0.04463458,12.844949,0.10035116,-0.23298219,32.09484,0.15139076,-0.18194258,-99,-99,0.5762064,10.371716,0.61144066,0.5033784,0.5960879,0.60140085,9.021012,0.61379856,0.5873606,0.5876686,0.67004627,67.00462,0.7092833,0.6126033,0.6506828,1561,1695,-121,61666.668,-49666.668,0.7009967,0.70247936,,0.65337425,0.7614012,1657,-98,1541,-56,1662,-101,0.6559563,0.784153,0.33333334,0.16482614,0.45081964
271901040,5289290,9315,0,333,3,1.0,38000.0,1,3,5,-1,55,-1,0.5154062,357,3,0.5,-0.8076049,-0.20190123,0.66460216,0.14919597,-0.71730745,6,107563,33379.727,4620.2734,0.63423496,0.030367196,-5.710417,-0.18420699,-0.68420696,-5.898423,-0.026450329,-0.52645034,-99,-99,,,,,,0.59753007,11.950601,0.6197044,0.57019234,0.57019234,0.63873345,63.87335,0.6844941,0.54696447,0.61952806,1561,1554,20,49250.0,-11250.0,0.7394073,0.6,,0.6075419,0.5785124,1549,10,1498,-13,1551,10,0.5901447,0.7394073,0.5,0.085470855,0.2394073
1392492,6047100,9315,0,27,2,0.0,17000.0,1,3,5,-1,55,-1,0.7407407,27,0,0.6,-0.3230111,-0.06460222,0.6772919,-0.06344879,-0.8053429,4,45099,24230.77,-7230.7695,0.6737442,0.003547728,-0.79119766,-0.07192706,-0.6719271,2.7688491,0.25171354,-0.34828648,-99,-99,,,,,,0.5866872,3.5201232,0.5987762,0.57019234,0.59492636,0.6526258,17.620895,0.7193401,0.5686248,0.6723047,1561,1556,18,47000.0,-30000.0,0.5176426,0.7407407,0.0,0.64759535,0.79044604,1562,-3,1508,-23,1562,-1,0.57673794,0.79044604,0.0,0.27115363,0.79044604
266674,9005930,9315,0,8,3,1.0,26000.0,0,3,5,-1,55,-1,0.875,8,0,0.5,-1.0637518,-0.17729197,0.70553595,-0.16946405,-1.052292,6,35502,28714.285,-2714.2852,0.7356775,-0.030141532,0.0,,,1.621212,0.270202,-0.22979799,-99,-99,,,,,,0.5873606,0.5873606,0.5873606,0.5873606,0.5873606,0.6599538,5.27963,0.7099189,0.6300671,0.66114646,1561,1543,31,42000.0,-16000.0,0.51463413,0.875,0.0,0.58148146,0.6599099,1536,23,1500,-15,1537,24,0.57228935,0.875,0.0,0.2963934,0.875
19138,11301660,9315,0,1,2,0.0,14000.0,0,3,5,-1,55,-1,0.0,1,0,0.5714286,-0.9387518,-0.1341074,0.61734396,0.61734396,-0.1341074,3,19138,,,0.65109056,-0.0337466,0.0,,,-0.8333333,-0.8333333,-1.4047619,-99,-99,,,,,,0.5966387,0.5966387,0.5966387,0.5966387,0.5966387,0.60591817,0.60591817,0.60591817,0.60591817,0.60591817,1561,1491,83,39714.285,-25714.285,0.51839805,0.0,0.33333334,0.62984055,0.45614034,1490,69,1500,-15,1490,71,0.35844868,0.62984055,0.0,0.26196155,0.62984055
2017654362,11301660,9315,0,182,3,1.0,29000.0,1,3,5,-1,55,-1,0.7777778,182,2,0.5,-0.9387518,-0.11734398,0.6351699,-0.14260787,-0.89512175,6,39611,17625.7,11374.301,0.6784758,-0.043305874,9.185227,0.0966866,-0.4033134,10.879859,0.13599823,-0.36400175,180,0,,,,,,,,,,,0.663274,66.3274,0.71108985,0.57367927,0.6472339,1561,1684,-110,36500.0,-7500.0,0.669692,0.7625,0.5,0.590796,0.7684923,1622,-63,1499,-14,1623,-62,0.65275115,0.7777778,0.5,0.1237361,0.2777778
128685,14437080,9315,0,5,3,1.0,21000.0,0,3,5,-1,55,-1,0.6,5,0,0.5555556,-0.7165296,-0.0796144,0.63165295,0.031652927,-0.6796144,5,31698,20000.0,1000.0,0.6568942,-0.025241256,0.0,,,0.31428573,0.06285714,-0.49269843,-99,-99,,,,,,,,,,,0.65750545,3.2875273,0.6735872,0.63121694,0.656977,1561,1508,66,35666.668,-14666.668,0.51626635,0.6,0.25,0.61735123,0.5844504,1507,52,1500,-15,1507,54,0.53194624,0.61735123,0.25,0.12884763,0.36735123
