timestamp,user_id,content_id,content_type_id,task_container_id,user_answer,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,bundle_id,correct_answer,part,tags,tag,type_of,target_enc_content_id,rate,content_id_shift1,is_same,part_shift1,content_id_shift2,part_shift2,content_id_shift3,part_shift3,content_id_shift4,part_shift4,content_id_shift5,part_shift5,content_id_shift6,part_shift6,content_id_shift7,part_shift7,content_id_shift8,part_shift8,content_id_shift9,part_shift9,content_id_shift10,part_shift10,content_id_shift11,part_shift11,content_id_shift12,part_shift12,content_id_shift13,part_shift13,content_id_shift14,part_shift14,content_id_shift15,part_shift15
0,408250,7900,0,0,0,1.0,,,7900,0,1,131 93 81,-1,,0.5,0.5,-1.0,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
24305,408250,7876,0,1,2,0.0,23000.0,False,7876,3,1,10 94 92,-1,,0.0,0.0,7900.0,False,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
50971,408250,175,0,2,2,1.0,21000.0,False,175,2,1,9 10 92,-1,,0.5,0.5,7876.0,False,1.0,7900.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
78519,408250,1278,0,3,0,0.0,24000.0,False,1278,3,2,143 140 81 29,-1,,1.0,-1.0,175.0,False,1.0,7876.0,1.0,7900.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
198231,408250,2063,0,4,2,0.0,25000.0,False,2063,0,3,136 92 29,-1,,0.0,0.0,1278.0,False,2.0,175.0,1.0,7876.0,1.0,7900.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
198231,408250,2064,0,4,1,1.0,25000.0,False,2063,1,3,157 92 29,-1,,0.5,0.5,2063.0,False,3.0,1278.0,2.0,175.0,1.0,7876.0,1.0,7900.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
198231,408250,2065,0,4,3,0.0,25000.0,False,2063,2,3,136 162 92 29,-1,,1.0,-1.0,2064.0,False,3.0,2063.0,3.0,1278.0,2.0,175.0,1.0,7876.0,1.0,7900.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
297161,408250,3363,0,5,3,1.0,38333.0,False,3363,3,4,74 103 29,-1,,0.5,0.5,2065.0,False,3.0,2064.0,3.0,2063.0,3.0,1278.0,2.0,175.0,1.0,7876.0,1.0,7900.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
297161,408250,3364,0,5,3,0.0,38333.0,False,3363,1,4,136 103 29,-1,,0.5,-0.5,3363.0,False,4.0,2065.0,3.0,2064.0,3.0,2063.0,3.0,1278.0,2.0,175.0,1.0,7876.0,1.0,7900.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
297161,408250,3365,0,5,2,1.0,38333.0,False,3363,2,4,136 103 29,-1,,0.5,0.5,3364.0,False,4.0,3363.0,4.0,2065.0,3.0,2064.0,3.0,2063.0,3.0,1278.0,2.0,175.0,1.0,7876.0,1.0,7900.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
