timestamp,user_id,content_id,content_type_id,task_container_id,user_answer,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,bundle_id,correct_answer,part,tags,tag,type_of,target_enc_content_id,rate,content_id_shift1,is_same,part_shift1,content_id_shift2,part_shift2,content_id_shift3,part_shift3,content_id_shift4,part_shift4,content_id_shift5,part_shift5,content_id_shift6,part_shift6,content_id_shift7,part_shift7,content_id_shift8,part_shift8,content_id_shift9,part_shift9,content_id_shift10,part_shift10,content_id_shift11,part_shift11,content_id_shift12,part_shift12,content_id_shift13,part_shift13,content_id_shift14,part_shift14,content_id_shift15,part_shift15
0,496840,4505,0,0,3,1.0,,,4505,3,5,73,-1,,,,-1.0,False,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23903,496840,5418,0,1,1,1.0,23000.0,False,5418,1,5,109,-1,,,,4505.0,False,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
41053,496840,5358,0,2,2,1.0,17000.0,False,5358,2,5,14,-1,,,,5418.0,False,5.0,4505.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
64259,496840,296,0,3,0,1.0,13000.0,False,296,0,2,143 114 92 29,-1,,,,5358.0,False,5.0,5418.0,5.0,4505.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
97335,496840,4853,0,4,3,1.0,18000.0,False,4853,3,5,55,-1,,0.0,1.0,296.0,False,2.0,5358.0,5.0,5418.0,5.0,4505.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
127531,496840,9315,0,5,0,0.0,29000.0,False,9315,3,5,55,-1,,0.0,0.0,4853.0,False,5.0,296.0,2.0,5358.0,5.0,5418.0,5.0,4505.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
154542,496840,6199,0,6,2,0.0,26000.0,False,6199,1,5,8,-1,,,,9315.0,False,5.0,4853.0,5.0,296.0,2.0,5358.0,5.0,5418.0,5.0,4505.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
199099,496840,3986,0,7,2,0.0,23000.0,False,3986,3,5,52,-1,,0.3333333333333333,-0.3333333333333333,6199.0,False,5.0,9315.0,5.0,4853.0,5.0,296.0,2.0,5358.0,5.0,5418.0,5.0,4505.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
240141,496840,4076,0,8,2,0.0,41000.0,False,4076,3,5,1,-1,,,,3986.0,False,5.0,6199.0,5.0,9315.0,5.0,4853.0,5.0,296.0,2.0,5358.0,5.0,5418.0,5.0,4505.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
283340,496840,5658,0,9,3,1.0,36000.0,False,5658,3,5,26,-1,,1.0,0.0,4076.0,False,5.0,3986.0,5.0,6199.0,5.0,9315.0,5.0,4853.0,5.0,296.0,2.0,5358.0,5.0,5418.0,5.0,4505.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
