timestamp,user_id,content_id,content_type_id,task_container_id,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,bundle_id,correct_answer,part,tag,previous_answer_content_id,previous_answer_index_content_id
1353977,24600,1067,0,27,1.0,30000.0,1,1067,1,2,-1,-99,-99
1377689,24600,940,0,28,0.0,18000.0,1,940,0,2,-1,-99,-99
1403698,24600,10685,0,29,1.0,16000.0,1,10685,0,2,-1,-99,-99
1426174,24600,817,0,30,1.0,18000.0,1,817,1,2,-1,-99,-99
1453702,24600,1262,0,31,0.0,16000.0,1,1262,1,2,-1,-99,-99
1477283,24600,1348,0,32,1.0,19000.0,1,1348,3,2,-1,-99,-99
1502268,24600,10686,0,33,0.0,14000.0,1,10686,0,2,-1,-99,-99
1526285,24600,754,0,34,0.0,19000.0,1,754,1,2,-1,-99,-99
1550831,24600,801,0,35,1.0,14000.0,1,801,0,2,-1,-99,-99
1168469,108310,703,0,32,1.0,20000.0,1,703,0,2,-1,-99,-99
1280931,108310,6770,0,33,1.0,16000.0,1,6769,2,6,-1,-99,-99
1280931,108310,6769,0,33,1.0,16000.0,1,6769,0,6,-1,-99,-99
1280931,108310,6771,0,33,1.0,16000.0,1,6769,1,6,-1,-99,-99
1280931,108310,6772,0,33,1.0,16000.0,1,6769,0,6,-1,-99,-99
6961704393,138650,5673,0,615,0.0,38000.0,1,5673,0,5,-1,-99,-99
6961721185,138650,9242,0,616,1.0,29000.0,1,9242,2,5,-1,-99,-99
6961886389,138650,588,0,617,0.0,6000.0,1,588,1,2,-1,-99,-99
6961938818,138650,500,0,618,0.0,12000.0,1,500,1,2,-1,-99,-99
6961969267,138650,1063,0,619,1.0,24000.0,1,1063,3,2,-1,-99,-99
6961992782,138650,1074,0,620,0.0,4000.0,1,1074,1,2,-1,-99,-99
6962019697,138650,1350,0,621,0.0,17000.0,1,1350,0,2,-1,-99,-99
6962044740,138650,1114,0,622,0.0,19000.0,1,1114,3,2,-1,-99,-99
6962066691,138650,492,0,623,1.0,18000.0,1,492,0,2,-1,-99,-99
6962088328,138650,507,0,624,0.0,15000.0,1,507,3,2,-1,-99,-99
6962117355,138650,556,0,625,0.0,14000.0,1,556,1,2,-1,-99,-99
6962141349,138650,1362,0,626,1.0,21000.0,1,1362,0,2,-1,-99,-99
7302040356,138650,5455,0,627,1.0,16000.0,1,5455,1,5,-1,-99,-99
7302062960,138650,5979,0,628,1.0,9000.0,1,5979,1,5,-1,-99,-99
7302120093,138650,5855,0,629,0.0,10000.0,1,5855,2,5,-1,-99,-99
7302142846,138650,9176,0,630,1.0,42000.0,1,9176,2,5,-1,-99,-99
7302187781,138650,6171,0,631,0.0,12000.0,1,6171,2,5,-1,-99,-99
7302219251,138650,5430,0,632,1.0,29000.0,1,5430,1,5,-1,-99,-99
7302249669,138650,4414,0,633,1.0,16000.0,1,4414,3,5,-1,-99,-99
7302278059,138650,8169,0,634,1.0,17000.0,1,8169,0,5,-1,-99,-99
7302325736,138650,3859,0,635,1.0,15000.0,1,3859,2,5,-1,-99,-99
7302383273,138650,5595,0,636,1.0,33000.0,1,5595,0,5,-1,-99,-99
7302430892,138650,1238,0,637,0.0,45000.0,1,1238,1,2,-1,-99,-99
7302460808,138650,1103,0,638,0.0,23000.0,1,1103,1,2,-1,-99,-99
7302489322,138650,622,0,639,1.0,19000.0,1,622,1,2,-1,-99,-99
7302518651,138650,559,0,640,1.0,18000.0,1,559,3,2,-1,-99,-99
7302555702,138650,1032,0,641,0.0,17000.0,1,1032,0,2,-1,-99,-99
7302581263,138650,716,0,642,1.0,25000.0,1,716,1,2,-1,-99,-99
7302606359,138650,617,0,643,1.0,17000.0,1,617,1,2,-1,-99,-99
7302646663,138650,695,0,644,0.0,17000.0,1,695,3,2,-1,-99,-99
7302678134,138650,402,0,645,0.0,26000.0,1,402,0,2,-1,-99,-99
7302707085,138650,580,0,646,1.0,18000.0,1,580,0,2,-1,-99,-99
7399513607,138650,360,0,647,0.0,17000.0,1,360,1,2,-1,-99,-99
7399541630,138650,886,0,648,0.0,18000.0,1,886,3,2,-1,-99,-99
7399567571,138650,741,0,649,1.0,19000.0,1,741,0,2,-1,-99,-99
7399596521,138650,1008,0,650,1.0,18000.0,1,1008,3,2,-1,-99,-99
7399624601,138650,385,0,651,1.0,18000.0,1,385,1,2,-1,-99,-99
7399650884,138650,325,0,652,1.0,17000.0,1,325,0,2,-1,-99,-99
7399679994,138650,1006,0,653,1.0,17000.0,1,1006,3,2,-1,-99,-99
7399705338,138650,905,0,654,0.0,20000.0,1,905,1,2,-1,-99,-99
7399736672,138650,1258,0,655,1.0,16000.0,1,1258,0,2,-1,-99,-99
7399770610,138650,772,0,656,1.0,22000.0,1,772,1,2,-1,-99,-99
7560468681,138650,1156,0,657,0.0,24000.0,1,1156,1,2,-1,-99,-99
7560494529,138650,620,0,658,1.0,23000.0,1,620,1,2,-1,-99,-99
7560520083,138650,761,0,659,1.0,17000.0,1,761,0,2,-1,-99,-99
7560546742,138650,624,0,660,1.0,18000.0,1,624,0,2,-1,-99,-99
7560572748,138650,868,0,661,0.0,18000.0,1,868,0,2,-1,-99,-99
7560601770,138650,454,0,662,1.0,16000.0,1,454,3,2,-1,-99,-99
7560632650,138650,697,0,663,0.0,18000.0,1,697,0,2,-1,-99,-99
7560663767,138650,234,0,664,1.0,20000.0,1,234,0,2,-1,-99,-99
7560698793,138650,996,0,665,0.0,22000.0,1,996,0,2,-1,-99,-99
7560731250,138650,731,0,666,0.0,26000.0,1,731,3,2,-1,-99,-99
7560769354,138650,4692,0,667,1.0,22000.0,1,4692,2,5,-1,-99,-99
7560787724,138650,8804,0,668,1.0,17000.0,1,8804,1,5,-1,-99,-99
7560823889,138650,4709,0,669,1.0,10000.0,1,4709,3,5,-1,-99,-99
7560872109,138650,4265,0,670,0.0,28000.0,1,4265,3,5,-1,-99,-99
7560915412,138650,4026,0,671,1.0,35000.0,1,4026,3,5,-1,-99,-99
7560947478,138650,9514,0,672,1.0,29000.0,1,9514,2,5,-1,-99,-99
7561048024,138650,6117,0,673,0.0,21000.0,1,6117,2,5,-1,-99,-99
7561078313,138650,4102,0,674,1.0,83000.0,1,4102,2,5,-1,-99,-99
7561098383,138650,6427,0,675,1.0,10000.0,1,6427,1,5,-1,-99,-99
7561129486,138650,8961,0,676,1.0,11000.0,1,8961,0,5,-1,-99,-99
7761907707,138650,6663,0,677,1.0,21000.0,1,6663,0,5,-1,-99,-99
7761937165,138650,5095,0,678,0.0,38000.0,1,5095,2,5,-1,-99,-99
7761969432,138650,4970,0,679,0.0,16000.0,1,4970,3,5,-1,-99,-99
7762000768,138650,9665,0,680,1.0,15000.0,1,9665,3,5,-1,-99,-99
7762038688,138650,3630,0,681,0.0,15000.0,1,3630,3,5,-1,-99,-99
7762077544,138650,3941,0,682,1.0,19000.0,1,3941,0,5,-1,-99,-99
7762111059,138650,6268,0,683,1.0,22000.0,1,6268,0,5,-1,-99,-99
7762130958,138650,8770,0,684,1.0,24000.0,1,8770,0,5,-1,-99,-99
7762174605,138650,4230,0,685,0.0,12000.0,1,4230,2,5,-1,-99,-99
7762205608,138650,4539,0,686,1.0,32000.0,1,4539,3,5,-1,-99,-99
7762250830,138650,1285,0,687,1.0,18000.0,1,1285,1,2,-1,-99,-99
7762275427,138650,1091,0,688,1.0,13000.0,1,1091,1,2,-1,-99,-99
7762299966,138650,367,0,689,1.0,17000.0,1,367,0,2,-1,-99,-99
7762325358,138650,247,0,690,1.0,16000.0,1,247,0,2,-1,-99,-99
7762349604,138650,261,0,691,1.0,16000.0,1,261,1,2,-1,-99,-99
7762375494,138650,818,0,692,0.0,17000.0,1,818,1,2,-1,-99,-99
7762403021,138650,544,0,693,0.0,19000.0,1,544,0,2,-1,-99,-99
7762427759,138650,1109,0,694,1.0,20000.0,1,1109,3,2,-1,-99,-99
7762457157,138650,1248,0,695,1.0,17000.0,1,1248,3,2,-1,-99,-99
7762484510,138650,1158,0,696,1.0,21000.0,1,1158,3,2,-1,-99,-99
7824007793,138650,4117,0,697,1.0,17000.0,1,4117,1,5,-1,-99,-99
7824034341,138650,9766,0,698,1.0,68000.0,1,9766,3,5,-1,-99,-99
7824066619,138650,3854,0,699,1.0,15000.0,1,3854,2,5,-1,-99,-99
7824082379,138650,5273,0,700,1.0,24000.0,1,5273,3,5,-1,-99,-99
7824120487,138650,6136,0,701,1.0,7000.0,1,6136,3,5,-1,-99,-99
7824145259,138650,9739,0,702,0.0,28000.0,1,9739,1,5,-1,-99,-99
7824166551,138650,3728,0,703,1.0,14000.0,1,3728,2,5,-1,-99,-99
7824189990,138650,5679,0,704,1.0,12000.0,1,5679,2,5,-1,-99,-99
7824214147,138650,3744,0,705,1.0,16000.0,1,3744,1,5,-1,-99,-99
