timestamp,user_id,content_id,content_type_id,task_container_id,prior_question_elapsed_time,prior_question_had_explanation,row_id,question_id,bundle_id,correct_answer,part,tags,lecture_id,tag,type_of,tags1,tags2,tags3,tags4,tags5,tags6,count_enc_content_id,target_enc_content_id,mean_prior_question_elapsed_time_by_content_id,diff_mean_prior_question_elapsed_time_by_content_id,count_enc_user_id,target_enc_user_id,mean_timestamp_by_user_id,diff_mean_timestamp_by_user_id,mean_prior_question_elapsed_time_by_user_id,diff_mean_prior_question_elapsed_time_by_user_id,user_level,diff_user_level,nunique_content_id_by_user_id,new_ratio_nunique_content_id_by_user_id,nunique_task_container_id_by_user_id,new_ratio_nunique_task_container_id_by_user_id,shiftdiff_timestamp_by_user_id,count_enc_content_type_id,target_enc_content_type_id,count_enc_prior_question_had_explanation,target_enc_prior_question_had_explanation,count_enc_tags1,target_enc_tags1,count_enc_tags2,target_enc_tags2,count_enc_tags3,target_enc_tags3,count_enc_tags4,target_enc_tags4,count_enc_tags5,target_enc_tags5,count_enc_tags6,target_enc_tags6,"count_enc_[user_id,content_type_id]","target_enc_[user_id,content_type_id]","count_enc_[user_id,prior_question_had_explanation]","target_enc_[user_id,prior_question_had_explanation]",count_enc_part,"count_enc_[user_id,tag]","count_enc_[user_id,part]","count_enc_[content_type_id,part]"
1029625695,301590,6125,0,145,76000.0,1,0,6125.0,6125,1,5,108,,-1,,108,-1,-1,-1,-1,-1,0,,,,0,,1029625660.0,31.0,,,,,1,1.0,1,1.0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0
7754555385,1283420,2482,0,1504,24000.0,1,1,2482.0,2482,0,3,74 162 38 81,,-1,,74,162,38,81,-1,-1,0,,,,0,,7754555400.0,-7.0,,,,,1,1.0,1,1.0,0,1,0.0,1,0.0,0,,0,,0,,0,,1,0.0,1,0.0,0,,0,,0,0,0,0
11220590539,1283420,4909,0,3890,28000.0,1,2,4909.0,4909,2,5,8,,-1,,8,-1,-1,-1,-1,-1,0,,,,1,1.0,9487573000.0,1733017600.0,24000.0,4000.0,,,2,1.0,2,1.0,3466035154,2,0.5,2,0.5,0,,1,0.0,1,0.0,1,0.0,2,0.5,2,0.5,1,1.0,1,1.0,1,1,0,1
1006244,5653550,7925,0,13,24000.0,1,3,7925.0,7925,3,1,9 10 81,,-1,,9,10,81,-1,-1,-1,0,,,,0,,1006244.0,0.0,,,,,1,1.0,1,1.0,0,3,0.6666667,3,0.6666667,0,,0,,0,,2,0.5,3,0.6666667,3,0.6666667,0,,0,,0,0,0,0
2600640954,11404670,6328,0,944,53000.0,1,4,6328.0,6328,0,5,53,,-1,,53,-1,-1,-1,-1,-1,0,,,,0,,2600641000.0,-70.0,,,,,1,1.0,1,1.0,0,4,0.75,4,0.75,0,,2,0.5,2,0.5,3,0.6666667,4,0.75,4,0.75,0,,0,,2,0,0,2
2381792479,13155490,9468,0,326,70000.0,1,5,9468.0,9468,1,5,8,,-1,,8,-1,-1,-1,-1,-1,0,,,,0,,2381792500.0,-33.0,,,,,1,1.0,1,1.0,0,5,0.8,5,0.8,1,1.0,3,0.6666667,3,0.6666667,4,0.75,5,0.8,5,0.8,0,,0,,3,0,0,3
79298,14576860,1278,0,3,28000.0,0,6,1278.0,1278,3,2,143 140 81 29,,-1,,143,140,81,29,-1,-1,0,,,,0,,79298.0,0.0,,,,,1,1.0,1,1.0,0,6,0.8333333,0,,0,,0,,1,1.0,0,,6,0.8333333,6,0.8333333,0,,0,,0,0,0,0
6090551951,16314590,89,0,378,20000.0,1,7,89.0,89,1,1,131 36 38,,-1,,131,36,38,-1,-1,-1,0,,,,0,,6090552000.0,143.0,,,,,1,1.0,1,1.0,0,7,0.71428573,6,0.8333333,0,,0,,1,1.0,5,0.8,7,0.71428573,7,0.71428573,0,,0,,1,0,0,1
5247490981,16324320,10674,0,28,25000.0,1,8,10674.0,10674,1,1,131 104 38,,-1,,131,104,38,-1,-1,-1,0,,,,0,,5247491000.0,-91.0,,,,,1,1.0,1,1.0,0,8,0.75,7,0.85714287,1,1.0,0,,2,1.0,6,0.8333333,8,0.75,8,0.75,0,,0,,2,0,0,2
12276697835,23672010,167,0,410,23000.0,1,9,167.0,167,2,1,131 130 162 38,,-1,,131,130,162,38,-1,-1,0,,,,0,,12276698000.0,-277.0,,,,,1,1.0,1,1.0,0,9,0.6666667,8,0.75,2,0.5,0,,0,,0,,9,0.6666667,9,0.6666667,0,,0,,3,0,0,3
