timestamp,user_id,content_id,content_type_id,task_container_id,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,question_id,bundle_id,correct_answer,part,tag,target_enc_user_id,shiftdiff_timestamp_by_user_id,shiftdiff_timestamp_by_user_id_cap200k,study_time,count_enc_user_id,previous_5_ans,target_enc_content_id,past5_timestamp_vslast,past20_timestamp_vslast,elapsed_time_content_id,diff_shiftdiff_elapsed_time,mean_shiftdiff_timestamp_by_user_id_cap200k_by_user_id,diff_mean_shiftdiff_timestamp_by_user_id_cap200k_by_user_id,mean_study_time_by_user_id,diff_mean_study_time_by_user_id,user_rate_sum_part_2,user_rate_mean_part_2,diff_rate_mean_target_enc_part_2,user_rate_sum_part_5,user_rate_mean_part_5,diff_rate_mean_target_enc_part_5,previous_answer_index_content_id,previous_answer_content_id,qq_table2_mean,qq_table2_sum,qq_table2_max,qq_table2_min,qq_table2_last,content_rating,user_id_rating,rating_diff_content_user_id,prev_ans_te,mean_shiftdiff_timestamp_by_user_id_cap200k_by_content_id,diff_mean_shiftdiff_timestamp_by_user_id_cap200k_by_content_id,mean_study_time_by_content_id,diff_mean_study_time_by_content_id,"['user_id', 'part']_rating","rating_diff_content_['user_id', 'part']","mean_shiftdiff_timestamp_by_user_id_cap200k_by_['user_id', 'part']","diff_mean_shiftdiff_timestamp_by_user_id_cap200k_by_['user_id', 'part']","mean_study_time_by_['user_id', 'part']","diff_mean_study_time_by_['user_id', 'part']",mean_shiftdiff_timestamp_by_user_id_cap200k_by_part,diff_mean_shiftdiff_timestamp_by_user_id_cap200k_by_part,mean_study_time_by_part,diff_mean_study_time_by_part,target_enc_previous_5_ans,te_mean,te_max,te_min,te_std,te_peak
1377689,24600,940,0,28,0.0,18000.0,1,940,940,0,2,-1,0.30952382,23712,23712,5712,42,11000,,216591.0,799469.0,15669,8042,67858.625,-44146.625,44664.51,-38952.51,0.0,0.0,,0.0,0.0,,-99,-99,0.8963622,32.26904,0.9211823,0.87015176,0.8979798,984,1353,-343,,23712.0,0.0,5712.0,0.0,1518,-534,49080.75,-25368.75,24330.75,-18618.75,57626.3,-33914.3,33490.19,-27778.191,0.72727275,0.5183983,0.72727275,0.30952382,0.29539308,0.41774893
1403698,24600,10685,0,29,1.0,16000.0,1,10685,10685,0,2,-1,0.30232558,26009,26009,10009,43,01100,0.6666667,202288.0,825478.0,18768,7240,66907.5,-40898.5,43876.887,-33867.887,0.0,,,0.0,,,-99,-99,0.7793797,28.83705,0.84410465,0.7002477,0.7741935,1266,1325,-44,,32211.5,-6202.5,15711.5,-5702.5,1487,-221,44466.4,-18457.398,21466.4,-11457.4,57539.44,-31530.441,33425.684,-23416.684,0.64705884,0.5386837,0.6666667,0.30232558,0.20492679,0.3643411
1426174,24600,817,0,30,1.0,18000.0,1,817,817,1,2,-1,0.3181818,22476,22476,4476,44,10110,1.0,99188.0,847954.0,18180,4295,65920.13,-43444.133,43001.312,-38525.312,0.3333333,0.3333333,-0.6666667,0.0,,,-99,-99,0.75728273,28.01946,0.78589743,0.71695906,0.78589743,1252,1339,-82,,23728.5,-1252.5,6728.5,-2252.5,1494,-242,40801.332,-18325.332,18634.666,-14158.666,57443.375,-34967.375,33346.37,-28870.371,0.75,0.68939394,1.0,0.3181818,0.34492582,0.6818182
1453702,24600,1262,0,31,0.0,16000.0,1,1262,1262,1,2,-1,0.33333334,27528,27528,11528,45,11011,1.0,99725.0,665722.0,17666,9861,65085.523,-37557.523,42317.11,-30789.11,0.3333333,0.16666666,-0.8333334,0.0,,,-99,-99,0.70703334,26.867268,0.7458007,0.664966,0.7259186,1368,1351,26,,75438.5,-47910.5,58938.5,-47410.5,1501,-133,38905.145,-11377.145,17619.428,-6091.4277,57361.64,-29833.64,33286.758,-21758.758,0.64,0.6577778,1.0,0.33333334,0.3336887,0.6666666
1477283,24600,1348,0,32,1.0,19000.0,1,1348,1348,3,2,-1,0.32608697,23581,23581,4581,46,01101,,99594.0,689303.0,16008,7572,64202.445,-40621.445,41514.21,-36933.21,-0.6666667,-0.22222222,,0.0,,,-99,-99,0.8198199,31.153156,0.8574939,0.7721692,0.830303,1201,1336,-109,,23581.0,0.0,4581.0,0.0,1479,-278,36989.625,-13408.625,15989.625,-11408.625,57269.594,-33688.594,33208.54,-28627.54,0.6060606,0.4660738,0.6060606,0.32608697,0.19797127,0.27997366
1502268,24600,10686,0,33,0.0,14000.0,1,10686,10686,0,2,-1,0.34042552,24985,24985,10985,47,10110,0.75,98570.0,714288.0,20269,4715,63385.418,-38400.418,40878.188,-29893.188,-0.6666667,-0.22222222,-0.9722222,0.0,,,-99,-99,0.5089674,20.358696,0.58932006,0.4196676,0.52227724,1409,1347,78,,34514.6,-9529.602,16314.6,-5329.5996,1484,-75,35655.777,-10670.777,15433.556,-4448.5557,57181.863,-32196.863,33148.15,-22163.148,0.75757575,0.6160004,0.75757575,0.34042552,0.23868492,0.41715023
1526285,24600,754,0,34,0.0,19000.0,1,754,754,1,2,-1,0.33333334,24017,24017,5017,48,01011,,100111.0,738305.0,14833,9183,62581.98,-38564.98,40146.33,-35129.33,-1.4166667,-0.3541667,,0.0,,,-99,-99,0.6611573,26.446293,0.7219123,0.5753176,0.63721263,1416,1335,98,,24017.0,0.0,5017.0,0.0,1465,-49,34491.9,-10474.898,14391.9,-9374.9,57091.99,-33074.99,33071.914,-28054.914,0.5,0.4166667,0.5,0.33333334,0.11785112,0.16666666
1550831,24600,801,0,35,1.0,14000.0,1,801,801,0,2,-1,0.3265306,24546,24546,10546,49,00101,,97129.0,659892.0,14399,10146,61821.26,-37275.26,39554.32,-29008.32,-1.4166667,-0.3541667,,0.0,,,-99,-99,0.86582565,34.633026,0.88174605,0.84076434,0.8549052,1118,1323,-190,,24546.0,0.0,10546.0,0.0,1447,-329,33587.727,-9041.727,14042.272,-3496.2725,57004.023,-32458.023,33011.03,-22465.031,0.5833333,0.45493197,0.5833333,0.3265306,0.18158694,0.2568027
1168469,108310,703,0,32,1.0,20000.0,1,703,703,0,2,-1,0.71875,27950,27950,7950,32,11111,,104588.0,825751.0,17522,10427,31202.424,-3252.4238,15775.182,-7825.1816,0.0,0.0,,0.0,,,-99,-99,0.82247055,15.626941,0.87637365,0.77319586,0.83970666,1210,1559,-330,,27950.0,0.0,7950.0,0.0,1537,-327,31756.2,-3806.1992,15356.2,-7406.2,56925.71,-28975.71,32943.484,-24993.484,0.7634855,0.7411177,0.7634855,0.71875,0.03163277,0.04473549
1280931,108310,6770,0,33,1.0,16000.0,1,6770,6769,2,6,-1,0.72727275,112462,112462,96462,33,11111,1.0,191807.0,920521.0,34059,78402,33592.41,78869.59,18148.324,78313.67,0.0,,,0.0,0.0,-1.0,-99,-99,0.574196,10.909723,0.6881134,0.44444445,0.57210404,1418,1563,-77,,178115.5,-65653.5,150615.5,-54153.5,1500,-82,112462.0,0.0,96462.0,0.0,174137.67,-61675.67,136710.03,-40248.03,0.7644628,0.8305785,1.0,0.72727275,0.14789693,0.27272725
