timestamp,user_id,content_id,content_type_id,task_container_id,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,bundle_id,correct_answer,part,tag,target_enc_user_id,shiftdiff_timestamp_by_user_id,shiftdiff_timestamp_by_user_id_cap200k,study_time,count_enc_user_id,previous_5_ans,target_enc_content_id,past5_timestamp_vslast,past20_timestamp_vslast,past5_content_type_id_mean,past15_content_type_id_mean,elapsed_time_content_id,diff_shiftdiff_elapsed_time,mean_shiftdiff_timestamp_by_user_id_cap200k_by_user_id,diff_mean_shiftdiff_timestamp_by_user_id_cap200k_by_user_id,mean_study_time_by_user_id,diff_mean_study_time_by_user_id,user_rate_sum_part_2,user_rate_mean_part_2,diff_rate_mean_target_enc_part_2,user_rate_sum_part_5,user_rate_mean_part_5,diff_rate_mean_target_enc_part_5,previous_answer_content_id,previous_answer_index_content_id,ql_table2_mean,ql_table2_sum,ql_table2_max,ql_table2_min,ql_table2_last,qq_table2_mean,qq_table2_sum,qq_table2_max,qq_table2_min,qq_table2_last,user_id_rating,content_rating,rating_diff_content_user_id,mean_shiftdiff_timestamp_by_user_id_cap200k_by_content_id,diff_mean_shiftdiff_timestamp_by_user_id_cap200k_by_content_id,mean_study_time_by_content_id,diff_mean_study_time_by_content_id,"['user_id', 'part']_rating","rating_diff_content_['user_id', 'part']","mean_shiftdiff_timestamp_by_user_id_cap200k_by_['user_id', 'part']","diff_mean_shiftdiff_timestamp_by_user_id_cap200k_by_['user_id', 'part']","mean_study_time_by_['user_id', 'part']","diff_mean_study_time_by_['user_id', 'part']",mean_shiftdiff_timestamp_by_user_id_cap200k_by_part,diff_mean_shiftdiff_timestamp_by_user_id_cap200k_by_part,mean_study_time_by_part,diff_mean_study_time_by_part,target_enc_previous_5_ans,te_mean,te_max,te_min,te_std,te_peak
1377689,24600,940,0,28,0.0,18000.0,1,940,0,2,-1,0.30952382,23712,23712,5712.0,42,11000,,216591.0,799469.0,0.0,0.0,15669.2822265625,8042.7177734375,65920.13,-42208.133,43001.312,-37289.312,0.0,,,0.0,,,-99,-99,,,,,,0.8963622,32.26904,0.9211823,0.87015176,0.8979798,1402,1028,-365,23712.0,0.0,5712.0,0.0,1508,-480,40801.332,-17089.332,18634.666,-12922.666,57443.375,-33731.375,33346.37,-27634.371,0.72727275,0.5183983,0.72727275,0.30952382,0.29539308,0.41774893
1403698,24600,10685,0,29,1.0,16000.0,1,10685,0,2,-1,0.30952382,26009,26009,10009.0,42,81100,0.6666667,202288.0,825478.0,0.0,0.0,18768.986328125,7240.013671875,65920.13,-39911.133,43001.312,-32992.312,0.0,,,0.0,,,-99,-99,,,,,,0.7793797,28.83705,0.84410465,0.7002477,0.7741935,1402,1249,-148,32211.5,-6202.5,15711.5,-5702.5,1508,-259,40801.332,-14792.332,18634.666,-8625.666,57443.375,-31434.375,33346.37,-23337.371,0.6666667,0.54761904,0.6666667,0.30952382,0.20619653,0.35714287
1426174,24600,817,0,30,1.0,18000.0,1,817,1,2,-1,0.30952382,22476,22476,4476.0,42,88110,1.0,99188.0,847954.0,0.0,0.0,18180.431640625,4295.568359375,65920.13,-43444.133,43001.312,-38525.312,0.0,,,0.0,,,-99,-99,,,,,,0.75648785,27.233562,0.7798705,0.71695906,0.7491909,1402,1293,-110,23728.5,-1252.5,6728.5,-2252.5,1508,-215,40801.332,-18325.332,18634.666,-14158.666,57443.375,-34967.375,33346.37,-28870.371,0.6857143,0.66507936,1.0,0.30952382,0.3457003,0.6904762
1453702,24600,1262,0,31,0.0,16000.0,1,1262,1,2,-1,0.33333334,27528,27528,11528.0,45,11011,1.0,99725.0,665722.0,0.0,0.0,17666.267578125,9861.732421875,63385.418,-35857.418,40878.188,-29350.188,0.3333333,0.16666666,-0.8333334,0.0,,,-99,-99,,,,,,0.70703334,26.867268,0.7458007,0.664966,0.7259186,1398,1364,-33,75438.5,-47910.5,58938.5,-47410.5,1501,-137,35655.777,-8127.7773,15433.556,-3905.5557,57181.863,-29653.863,33148.15,-21620.148,0.64,0.6577778,1.0,0.33333334,0.3336887,0.6666666
1477283,24600,1348,0,32,1.0,19000.0,1,1348,3,2,-1,0.33333334,23581,23581,4581.0,45,81101,,99594.0,689303.0,0.0,0.0,16008.21484375,7572.78515625,63385.418,-39804.418,40878.188,-36297.188,0.3333333,0.16666666,,0.0,,,-99,-99,,,,,,0.8198199,31.153156,0.8574939,0.7721692,0.830303,1398,1211,-176,23581.0,0.0,4581.0,0.0,1501,-290,35655.777,-12074.777,15433.556,-10852.556,57181.863,-33600.863,33148.15,-28567.148,0.73913044,0.5362319,0.73913044,0.33333334,0.2869419,0.4057971
1502268,24600,10686,0,33,0.0,14000.0,1,10686,0,2,-1,0.33333334,24985,24985,10985.0,45,88110,0.75,98570.0,714288.0,0.0,0.0,20269.44921875,4715.55078125,63385.418,-38400.418,40878.188,-29893.188,0.3333333,0.16666666,-0.5833334,0.0,,,-99,-99,,,,,,0.50862616,19.83642,0.58932006,0.4196676,0.5020276,1398,1445,57,34514.6,-9529.602,16314.6,-5329.5996,1501,-56,35655.777,-10670.777,15433.556,-4448.5557,57181.863,-32196.863,33148.15,-22163.148,0.6857143,0.5896826,0.75,0.33333334,0.22431974,0.41666666
1526285,24600,754,0,34,0.0,19000.0,1,754,1,2,-1,0.33333334,24017,24017,5017.0,48,01011,,100111.0,738305.0,0.0,0.0,14833.134765625,9183.865234375,61821.26,-37804.26,39554.32,-34537.32,-1.4166667,-0.3541667,,0.0,,,-99,-99,,,,,,0.6611573,26.446293,0.7219123,0.5753176,0.63721263,1388,1391,13,24017.0,0.0,5017.0,0.0,1484,-93,33587.727,-9570.727,14042.272,-9025.272,56925.71,-32908.71,32943.484,-27926.484,0.5,0.4166667,0.5,0.33333334,0.11785112,0.16666666
1550831,24600,801,0,35,1.0,14000.0,1,801,0,2,-1,0.33333334,24546,24546,10546.0,48,80101,,97129.0,659892.0,0.0,0.0,14399.435546875,10146.564453125,61821.26,-37275.26,39554.32,-29008.32,-1.4166667,-0.3541667,,0.0,,,-99,-99,,,,,,0.86582565,34.633026,0.88174605,0.84076434,0.8549052,1388,1142,-238,24546.0,0.0,10546.0,0.0,1484,-342,33587.727,-9041.727,14042.272,-3496.2725,56925.71,-32379.71,32943.484,-22397.484,0.9,0.6166667,0.9,0.33333334,0.40069383,0.5666666
1168469,108310,703,0,32,1.0,20000.0,1,703,0,2,-1,0.71875,27950,27950,7950.0,32,11111,,104588.0,825751.0,0.0,0.0,17522.984375,10427.015625,31202.424,-3252.4238,15775.182,-7825.1816,0.0,,,0.0,0.0,,-99,-99,,,,,,0.82247055,15.626941,0.87637365,0.77319586,0.83970666,1529,1220,-292,27950.0,0.0,7950.0,0.0,1518,-298,31756.2,-3806.1992,15356.2,-7406.2,56925.71,-28975.71,32943.484,-24993.484,0.7634855,0.7411177,0.7634855,0.71875,0.03163277,0.04473549
1280931,108310,6770,0,33,1.0,16000.0,1,6769,2,6,-1,0.72727275,112462,112462,96462.0,33,11111,1.0,191807.0,920521.0,0.0,0.0,34059.3203125,78402.6796875,37974.055,74487.945,22499.084,73962.914,0.0,,,0.0,0.0,-1.0,-99,-99,,,,,,0.574196,10.909723,0.6881134,0.44444445,0.57210404,1532,1423,-49,178115.5,-65653.5,150615.5,-54153.5,1500,-77,112462.0,0.0,96462.0,0.0,173882.81,-61420.812,136543.7,-40081.703,0.7634855,0.8302527,1.0,0.72727275,0.14811629,0.27272725
