,timestamp,user_id,content_id,content_type_id,task_container_id,user_answer,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,question_id,bundle_id,correct_answer,part,tags,tag,type_of,1000_time
1393323,0,298845490,4436,0,0,3,0,,,4436,4436,2,5,26,-1,,0
1393324,18069,298845490,4566,0,1,3,0,16000.0,False,4566,4566,1,5,75,-1,,0
1393325,48958,298845490,6099,0,2,1,1,13000.0,False,6099,6099,1,5,1,-1,,0
1393326,58449,298845490,9261,0,3,0,1,29000.0,False,9261,9261,0,5,173,-1,,0
1393327,110525,298845490,742,0,4,0,1,7000.0,False,742,742,0,2,143 176 38 81,-1,,0
1393328,149375,298845490,4730,0,5,0,1,49000.0,False,4730,4730,0,5,8,-1,,0
1393329,183906,298845490,6402,0,6,0,0,35000.0,False,6402,6402,3,5,173,-1,,0
1393330,205400,298845490,8202,0,7,1,1,32000.0,False,8202,8202,1,5,8,-1,,0
1393331,231905,298845490,7978,0,8,2,0,19000.0,False,7978,7978,1,1,131 104 29,-1,,0
1393332,11833675393,298845490,2598,0,9,3,0,23000.0,False,2598,2596,1,4,157 67 162 92,-1,,0
1393333,11833675393,298845490,2596,0,9,2,0,23000.0,False,2596,2596,3,4,106 67 162 92,-1,,0
1393334,11833675393,298845490,2597,0,9,0,1,23000.0,False,2597,2596,0,4,161 67 162 92,-1,,0
1393335,11834059970,298845490,11603,0,10,3,1,33000.0,True,11603,11603,3,4,106 92 59,-1,,0
1393336,11834059970,298845490,11605,0,10,2,1,33000.0,True,11605,11603,2,4,157 92 59,-1,,0
1393337,11834059970,298845490,11604,0,10,0,0,33000.0,True,11604,11603,2,4,161 92 59,-1,,0
1393338,11834306420,298845490,3438,0,11,3,0,38000.0,True,3438,3438,1,4,74 67 29,-1,,0
1393339,11834306420,298845490,3439,0,11,2,1,38000.0,True,3439,3438,2,4,136 67 29,-1,,0
1393340,11834306420,298845490,3440,0,11,1,1,38000.0,True,3440,3438,1,4,82 67 29,-1,,0
1393341,11834595740,298845490,2571,0,12,3,0,24666.0,True,2571,2569,0,4,157 103 102,-1,,0
1393342,11834595740,298845490,2570,0,12,2,1,24666.0,True,2570,2569,2,4,161 103 102,-1,,0
1393343,11834595740,298845490,2569,0,12,2,0,24666.0,True,2569,2569,1,4,106 103 102,-1,,0
1393344,11834869890,298845490,10124,0,13,3,0,36333.0,True,10124,10124,2,4,106 169 92,-1,,0
1393345,11834869890,298845490,10126,0,13,1,0,36333.0,True,10126,10124,0,4,82 169 92,-1,,0
1393346,11834869890,298845490,10125,0,13,0,1,36333.0,True,10125,10124,0,4,82 169 92,-1,,0
1393347,11835011479,298845490,10523,0,14,3,0,42000.0,True,10523,10523,1,1,131 36 81,-1,,0
1393348,11835109624,298845490,7969,0,15,3,1,25000.0,True,7969,7969,3,1,131 149 162 38,-1,,0
1393349,11835209377,298845490,10415,0,16,2,0,23000.0,True,10415,10415,1,1,131 111 29,-1,,0
1393350,11835292646,298845490,149,0,17,0,0,25000.0,True,149,149,2,1,131 93 81,-1,,0
1393351,11835377421,298845490,134,0,18,0,0,21000.0,True,134,134,2,1,131 104 92,-1,,0
1393352,11835428024,298845490,10545,0,19,1,1,22000.0,True,10545,10545,1,1,131 187 92,-1,,0
1393353,11845209120,298845490,239,0,20,0,1,22000.0,True,239,239,0,2,155 163 38 102,-1,,0
1393354,11845275718,298845490,379,0,21,0,1,18000.0,True,379,379,0,2,148 32 38 102,-1,,0
1393355,11845313775,298845490,296,0,22,0,1,16000.0,True,296,296,0,2,143 114 92 29,-1,,0
1393356,11845355013,298845490,1122,0,23,3,0,16000.0,True,1122,1122,0,2,143 114 38 92,-1,,0
1393357,11845412957,298845490,853,0,24,1,0,19000.0,True,853,853,0,2,129 143 30 38 102,-1,,0
1393358,11845478895,298845490,10686,0,25,3,0,16000.0,True,10686,10686,0,2,62 137 142 38 29,-1,,0
1393359,11845544080,298845490,402,0,26,3,0,19000.0,True,402,402,0,2,62 137 88 92 29,-1,,0
1393360,11845614589,298845490,997,0,27,1,0,30000.0,True,997,997,3,2,143 20 92 29,-1,,0
1393361,11845714149,298845490,969,0,28,3,0,16000.0,True,969,969,0,2,69 32 138 38 81,-1,,0
1393362,11845797284,298845490,258,0,29,3,0,16000.0,True,258,258,1,2,143 30 81 92,-1,,0
1393363,11845868183,298845490,1150,0,30,0,0,17000.0,True,1150,1150,1,2,143 20 81 29,-1,,0
1393364,11845950844,298845490,278,0,31,0,0,15000.0,True,278,278,1,2,2 107 81 92,-1,,0
1393365,11846187233,298845490,25843,1,32,-1,-1,,False,65535,-1,-1,1,,164,concept,0
1393366,11848258305,298845490,11112,0,33,1,0,16000.0,True,11112,11111,0,6,72,-1,,0
1393367,11848258305,298845490,11111,0,33,2,0,16000.0,True,11111,11111,3,6,1,-1,,0
1393368,11848258305,298845490,11113,0,33,1,0,16000.0,True,11113,11111,0,6,27,-1,,0
1393369,11848258305,298845490,11114,0,33,2,1,16000.0,True,11114,11111,2,6,170,-1,,0
1393370,11849388609,298845490,10885,0,34,1,0,34750.0,True,10885,10883,0,6,116,-1,,0
1393371,11849388609,298845490,10884,0,34,1,1,34750.0,True,10884,10883,1,6,73,-1,,0
1393372,11849388609,298845490,10886,0,34,3,0,34750.0,True,10886,10883,2,6,27,-1,,0
1393373,11849388609,298845490,10883,0,34,2,0,34750.0,True,10883,10883,0,6,45,-1,,0
1393374,11849868643,298845490,10275,0,35,2,0,70000.0,True,10275,10272,0,6,27,-1,,0
1393375,11849868643,298845490,10273,0,35,1,0,70000.0,True,10273,10272,2,6,182,-1,,0
1393376,11849868643,298845490,10274,0,35,1,0,70000.0,True,10274,10272,3,6,147,-1,,0
1393377,11849868643,298845490,10272,0,35,3,1,70000.0,True,10272,10272,3,6,73,-1,,0
1393378,11850221000,298845490,10280,0,36,2,0,42250.0,True,10280,10280,0,6,147,-1,,0
1393379,11850221000,298845490,10282,0,36,3,0,42250.0,True,10282,10280,0,6,96,-1,,0
1393380,11850221000,298845490,10283,0,36,0,0,42250.0,True,10283,10280,2,6,58,-1,,0
1393381,11850221000,298845490,10281,0,36,1,0,42250.0,True,10281,10280,2,6,27,-1,,0
1393382,11850341951,298845490,18186,1,38,-1,-1,,False,65535,-1,-1,4,,161,concept,0
1393383,11850547423,298845490,1786,0,37,0,0,31500.0,True,1786,1784,2,3,82 38 81,-1,,0
1393384,11850547423,298845490,1784,0,37,3,1,31500.0,True,1784,1784,3,3,136 38 81,-1,,0
1393385,11850547423,298845490,1785,0,37,1,0,31500.0,True,1785,1784,0,3,74 38 81,-1,,0
1393386,11850685091,298845490,1797,0,39,0,0,24000.0,True,1797,1796,3,3,82 92 29,-1,,0
1393387,11850685091,298845490,1798,0,39,2,0,24000.0,True,1798,1796,1,3,136 162 92 29,-1,,0
1393388,11850685091,298845490,1796,0,39,2,0,24000.0,True,1796,1796,3,3,74 92 29,-1,,0
1393389,11850799157,298845490,1558,0,40,3,1,22333.0,True,1558,1556,3,3,82 38 81,-1,,0
1393390,11850799157,298845490,1557,0,40,2,0,22333.0,True,1557,1556,1,3,106 38 81,-1,,0
1393391,11850799157,298845490,1556,0,40,1,0,22333.0,True,1556,1556,0,3,74 162 38 81,-1,,0
1393392,11850917511,298845490,2388,0,41,0,0,21000.0,True,2388,2386,2,3,157 38 81 92,-1,,0
1393393,11850917511,298845490,2387,0,41,2,1,21000.0,True,2387,2386,2,3,161 38 81 92,-1,,0
1393394,11850917511,298845490,2386,0,41,0,1,21000.0,True,2386,2386,0,3,82 38 81 92,-1,,0
1393395,11851012906,298845490,2329,0,42,1,1,27333.0,True,2329,2329,1,3,106 38 29 102,-1,,0
