,index,timestamp,user_id,content_id,content_type_id,task_container_id,user_answer,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,question_id,bundle_id,correct_answer,part,tags,tag,type_of,content_rating,user_id_rating,rating_diff_content_user_id,"['user_id', 'part']_rating","rating_diff_content_['user_id', 'part']",user_id_rating_bin,content_rating_bin,rating_diff_content_user_id_bin,"['user_id', 'part']_rating_bin",predict,target
1429252,7766454,0,1656040300,7900,0,0,0,1.0,,,7900,7900,0,1,131 93 81,-1,,1209,1500,-291,1500,-293,15,12,-3,15,0.8282405429605253,1.0
1429253,7766455,20242,1656040300,7876,0,1,3,1.0,16000.0,False,7876,7876,3,1,10 94 92,-1,,1558,1502,56,1502,49,15,15,0,15,0.5078768886494704,1.0
1429254,7766456,45659,1656040300,175,0,2,2,1.0,17000.0,False,175,175,2,1,9 10 92,-1,,1620,1511,109,1510,99,15,16,1,15,0.4187001410205817,1.0
1429255,7766457,62361,1656040300,1278,0,3,3,1.0,22000.0,False,1278,1278,3,2,143 140 81 29,-1,,1340,1520,-180,1500,-166,15,13,-2,15,0.907802246001726,1.0
1429256,7766458,119933,1656040300,2065,0,4,2,1.0,15000.0,False,2065,2063,2,3,136 162 92 29,-1,,1370,1524,-154,1500,-138,15,13,-2,15,0.8433239954050704,1.0
1429257,7766459,119933,1656040300,2063,0,4,0,1.0,15000.0,False,2063,2063,0,3,136 92 29,-1,,1796,1529,267,1504,279,15,17,2,15,0.2616923649049473,1.0
1429258,7766460,119933,1656040300,2064,0,4,1,1.0,15000.0,False,2064,2063,1,3,157 92 29,-1,,1399,1541,-142,1517,-126,15,13,-2,15,0.8992174739983492,1.0
1429259,7766461,174050,1656040300,3364,0,5,1,1.0,18333.0,False,3364,3363,1,4,136 103 29,-1,,1476,1546,-70,1500,-35,15,14,-1,15,0.8448061240034809,1.0
1429260,7766462,174050,1656040300,3363,0,5,3,1.0,18333.0,False,3363,3363,3,4,74 103 29,-1,,1582,1552,30,1506,63,15,15,0,15,0.7776361441013722,1.0
1429261,7766463,174050,1656040300,3365,0,5,2,1.0,18333.0,False,3365,3363,2,4,136 103 29,-1,,1593,1560,33,1515,65,15,15,0,15,0.7107791757882336,1.0
1429262,7766464,230985,1656040300,2948,0,6,1,0.0,17000.0,False,2948,2946,0,4,136 67 92,-1,,1683,1568,115,1524,152,15,16,1,15,0.5636549803259768,0.0
1429263,7766465,230985,1656040300,2946,0,6,3,1.0,17000.0,False,2946,2946,3,4,136 67 92,-1,,1724,1563,161,1520,196,15,17,1,15,0.6008715652478753,1.0
1429264,7766466,230985,1656040300,2947,0,6,1,1.0,17000.0,False,2947,2946,1,4,74 67 92,-1,,1660,1574,86,1531,121,15,16,0,15,0.8209526316059086,1.0
1429265,7766467,292277,1656040300,2593,0,7,3,1.0,18000.0,False,2593,2593,3,4,136 103 102,-1,,1419,1583,-164,1541,-127,15,14,-2,15,0.9453324847536264,1.0
1429266,7766468,292277,1656040300,2594,0,7,2,1.0,18000.0,False,2594,2593,2,4,161 103 102,-1,,1579,1587,-8,1546,28,15,15,-1,15,0.8755887365300492,1.0
1429267,7766469,292277,1656040300,2595,0,7,0,1.0,18000.0,False,2595,2593,0,4,82 103 102,-1,,1509,1595,-86,1554,-51,15,15,-1,15,0.9001311634496433,1.0
1429268,7766470,309192,1656040300,4492,0,8,2,1.0,19333.0,False,4492,4492,2,5,80,-1,,1560,1600,-40,1500,58,16,15,-1,15,0.8121622429337226,1.0
1429269,7766471,329693,1656040300,4120,0,9,3,0.0,14000.0,False,4120,4120,0,5,123,-1,,1619,1607,12,1508,109,16,16,0,15,0.5465340462081258,0.0
1429270,7766472,339863,1656040300,4696,0,10,0,1.0,18000.0,False,4696,4696,0,5,133,-1,,1465,1600,-135,1503,-38,16,14,-2,15,0.9394378384510268,1.0
1429271,7766473,361976,1656040300,6116,0,11,0,0.0,7000.0,False,6116,6116,3,5,23,-1,,1662,1604,58,1510,146,16,16,0,15,0.3311157140869748,0.0
1429272,7766474,378374,1656040300,6173,0,12,2,1.0,19000.0,False,6173,6173,2,5,151,-1,,1683,1598,85,1505,171,15,16,0,15,0.4453858832997223,1.0
1429273,7766475,405967,1656040300,6370,0,13,1,0.0,14000.0,False,6370,6370,2,5,79,-1,,1642,1607,35,1516,123,16,16,0,15,0.6289352339982093,0.0
1429274,7766476,494954,1656040300,6877,0,14,2,1.0,24000.0,False,6877,6877,2,6,96,-1,,1530,1601,-71,1500,23,16,15,-1,15,0.7339870598510184,1.0
1429275,7766477,494954,1656040300,6880,0,14,3,0.0,24000.0,False,6880,6877,0,6,73,-1,,1673,1607,66,1507,153,16,16,0,15,0.35864879539335937,0.0
1429276,7766478,494954,1656040300,6878,0,14,1,1.0,24000.0,False,6878,6877,1,6,65,-1,,1416,1601,-185,1503,-91,16,14,-2,15,0.9501061529862282,1.0
1429277,7766479,494954,1656040300,6879,0,14,2,1.0,24000.0,False,6879,6877,2,6,27,-1,,1596,1604,-8,1509,77,16,15,-1,15,0.579627391480076,1.0
1429278,7766480,754415,1656040300,7219,0,15,3,0.0,21500.0,False,7219,7216,2,7,50 19 21,-1,,1610,1612,-2,1500,103,16,16,-1,15,0.4864975804297126,0.0
1429279,7766481,754415,1656040300,7218,0,15,2,1.0,21500.0,False,7218,7216,2,7,50 18 21,-1,,1350,1604,-254,1494,-145,16,13,-3,14,0.9634486606661832,1.0
1429280,7766482,754415,1656040300,7217,0,15,2,1.0,21500.0,False,7217,7216,2,7,50 118 21,-1,,1480,1607,-127,1499,-21,16,14,-2,14,0.8311717913411342,1.0
1429281,7766483,754415,1656040300,7216,0,15,3,1.0,21500.0,False,7216,7216,3,7,97 50 21,-1,,1514,1612,-98,1506,4,16,15,-1,15,0.8181389714845891,1.0
