,index,timestamp,user_id,content_id,content_type_id,task_container_id,user_answer,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,question_id,bundle_id,correct_answer,part,tags,tag,type_of,content_rating,user_id_rating,rating_diff_content_user_id,"['user_id', 'part']_rating","rating_diff_content_['user_id', 'part']",user_id_rating_bin,content_rating_bin,rating_diff_content_user_id_bin,"['user_id', 'part']_rating_bin",predict,target
5555,30992,0,11301660,4406,0,0,0,0.0,,,4406,4406,3,5,33,-1,,1442,1500,-58,1500,-73,15,14,-1,15,0.5278702873542148,0.0
5556,30993,19138,11301660,9315,0,1,2,0.0,14000.0,False,9315,9315,3,5,55,-1,,1574,1491,83,1490,69,14,15,0,14,0.2600773188839729,0.0
5557,30994,45309,11301660,5190,0,2,2,1.0,16000.0,False,5190,5190,2,5,48,-1,,1311,1485,-174,1484,-175,14,13,-2,14,0.6476929729863622,1.0
5558,30995,472254522,11301660,846,0,3,1,1.0,23000.0,False,846,846,1,2,143 176 81 29,-1,,1283,1489,-206,1500,-241,14,12,-3,15,0.5991528869821053,1.0
5559,30996,472286105,11301660,4402,0,4,3,1.0,16000.0,False,4402,4402,3,5,66,-1,,1436,1493,-57,1488,-74,14,14,-1,14,0.3951712867854449,1.0
5560,30997,472304335,11301660,3938,0,5,1,1.0,17000.0,False,3938,3938,1,5,91,-1,,1355,1499,-144,1494,-145,14,13,-2,14,0.7867982813977644,1.0
5561,30998,472323294,11301660,3603,0,6,1,1.0,16000.0,False,3603,3603,1,5,166,-1,,1343,1503,-160,1499,-172,15,13,-2,14,0.7113243729018268,1.0
5562,30999,472348471,11301660,9695,0,7,1,1.0,16000.0,False,9695,9695,1,5,55,-1,,1491,1508,-17,1503,-15,15,14,-1,15,0.5834281690946479,1.0
5563,31000,472373988,11301660,3988,0,8,0,0.0,23000.0,False,3988,3988,2,5,166,-1,,1575,1515,60,1510,49,15,15,0,15,0.40794602109223066,0.0
5564,31001,472391315,11301660,4954,0,9,2,0.0,23000.0,False,4954,4954,1,5,8,-1,,1566,1509,57,1504,45,15,15,0,15,0.4325245897638381,0.0
5565,31002,472411918,11301660,217,0,10,0,1.0,14000.0,False,217,217,0,2,143 71 29 102,-1,,1442,1502,-60,1503,-71,15,14,-1,15,0.8213188448001119,1.0
5566,31003,472680972,11301660,6340,0,11,2,0.0,17000.0,False,6340,6340,1,5,60,-1,,1546,1509,37,1497,29,15,15,0,14,0.4103520124132885,0.0
5567,31004,472718081,11301660,4419,0,12,1,1.0,23000.0,True,4419,4419,1,5,44,-1,,1344,1502,-158,1490,-162,15,13,-2,14,0.6207238945775925,1.0
5568,31005,472744813,11301660,5620,0,13,1,0.0,24000.0,True,5620,5620,0,5,49,-1,,1484,1506,-22,1494,-32,15,14,-1,14,0.6860309003960502,0.0
5569,31006,472783461,11301660,9747,0,14,2,1.0,13000.0,True,9747,9747,2,5,1,-1,,1263,1498,-235,1486,-234,14,12,-3,14,0.7442466396332396,1.0
5570,31007,472797730,11301660,4476,0,15,1,1.0,25000.0,True,4476,4476,1,5,23,-1,,1444,1501,-57,1489,-63,15,14,-1,14,0.7206968515910659,1.0
5571,31008,472819659,11301660,3859,0,16,0,0.0,7000.0,True,3859,3859,2,5,43,-1,,1640,1508,132,1496,125,15,16,1,14,0.25710019767294845,0.0
5572,31009,472843162,11301660,4568,0,17,0,0.0,12000.0,True,4568,4568,3,5,75,-1,,1434,1503,-69,1491,-68,15,14,-1,14,0.5687547742293814,0.0
5573,31010,472954787,11301660,327,0,19,0,1.0,10000.0,True,327,327,0,2,137 88 162 92 102,-1,,1212,1494,-282,1509,-312,14,12,-3,15,0.8637005245586052,1.0
5574,31011,473009868,11301660,1363,0,20,1,1.0,17000.0,True,1363,1363,1,2,2 107 162 81 29,-1,,1414,1496,-82,1511,-117,14,14,-1,15,0.6704122798512862,1.0
5575,31012,473061448,11301660,824,0,21,0,1.0,16000.0,True,824,824,0,2,17 56 81 92,-1,,1508,1502,6,1516,-38,15,15,0,15,0.4121458583946941,1.0
5576,31013,473118221,11301660,10687,0,22,1,1.0,17000.0,True,10687,10687,1,2,62 137 142 81 92,-1,,1170,1510,-340,1522,-357,15,11,-4,15,0.9293625219547808,1.0
5577,31014,473179108,11301660,996,0,23,1,0.0,17000.0,True,996,996,0,2,137 142 162 38 92,-1,,1316,1512,-196,1524,-229,15,13,-2,15,0.6884970674835936,0.0
5578,31015,473239010,11301660,1210,0,24,0,0.0,18000.0,True,1210,1210,3,2,155 119 92 102,-1,,1237,1500,-263,1512,-280,15,12,-3,15,0.8355714986038923,0.0
5579,31016,473284413,11301660,1085,0,25,3,0.0,23000.0,True,1085,1085,0,2,148 32 162 81 92,-1,,1275,1488,-213,1500,-242,14,12,-3,15,0.7229442163980448,0.0
5580,31017,473313079,11301660,10685,0,26,0,1.0,19000.0,True,10685,10685,0,2,69 137 142 38 29,-1,,1254,1476,-222,1488,-239,14,12,-3,14,0.8417478759993974,1.0
5581,31018,473369094,11301660,554,0,27,3,1.0,17000.0,True,554,554,3,2,69 148 32 38 92,-1,,1414,1480,-66,1491,-109,14,14,-1,14,0.594051336956912,1.0
5582,31019,473431862,11301660,1141,0,28,0,1.0,21000.0,True,1141,1141,0,2,143 71 81 92,-1,,1353,1486,-133,1496,-159,14,13,-2,14,0.6226552264648922,1.0
5583,31020,473712848,11301660,9079,0,18,0,1.0,16000.0,True,9079,9079,0,5,7,-1,,1341,1490,-149,1482,-154,14,13,-2,14,0.6408506531319399,1.0
5584,31021,473742820,11301660,5706,0,29,0,1.0,29000.0,True,5706,5706,0,5,127,-1,,1364,1495,-131,1486,-137,14,13,-2,14,0.7900626652297682,1.0
5585,31022,473766821,11301660,6185,0,30,3,1.0,21000.0,True,6185,6185,3,5,58,-1,,1564,1500,64,1491,52,15,15,0,14,0.6303196126309107,1.0
5586,31023,1013906345,11301660,1051,0,32,3,1.0,14000.0,True,1051,1051,3,2,138 41 162 38 92,-1,,1421,1509,-88,1500,-103,15,14,-1,15,0.564750167192991,1.0
5587,31024,1013953580,11301660,1110,0,33,1,1.0,19000.0,True,1110,1110,1,2,137 142 162 92 102,-1,,1308,1514,-206,1506,-203,15,13,-3,15,0.8947707860428982,1.0
5588,31025,1013998807,11301660,903,0,34,3,1.0,17000.0,True,903,903,3,2,143 141 81 29,-1,,1302,1518,-216,1509,-233,15,13,-3,15,0.7795149205332106,1.0
5589,31026,1014045922,11301660,294,0,35,3,1.0,17000.0,True,294,294,3,2,155 119 38 81,-1,,1154,1521,-367,1512,-361,15,11,-4,15,0.9235729379926828,1.0
5590,31027,1014114213,11301660,4233,0,31,0,1.0,15000.0,True,4233,4233,0,5,73,-1,,1445,1523,-78,1499,-69,15,14,-1,14,0.486510000365722,1.0
5591,31028,1202594614,11301660,691,0,36,3,1.0,17000.0,True,691,691,3,2,137 88 162 38 29,-1,,1414,1529,-115,1514,-137,15,14,-2,15,0.6226159258296222,1.0
5592,31029,1202615815,11301660,1224,0,38,3,1.0,18000.0,True,1224,1224,3,2,137 142 38 102,-1,,1301,1534,-233,1519,-239,15,13,-3,15,0.9638196058683371,1.0
5593,31030,1202663920,11301660,1321,0,39,3,1.0,15000.0,True,1321,1321,3,2,137 88 92 102,-1,,1300,1537,-237,1522,-247,15,13,-3,15,0.8264501525467968,1.0
5594,31031,1202717547,11301660,868,0,40,0,1.0,17000.0,True,868,868,0,2,137 88 38 29,-1,,1347,1540,-193,1525,-196,15,13,-2,15,0.6726494249870566,1.0
5595,31032,1202769340,11301660,288,0,41,0,1.0,16000.0,True,288,288,0,2,143 176 6 81 92,-1,,1344,1544,-200,1528,-190,15,13,-2,15,0.7456592662884242,1.0
5596,31033,1202841447,11301660,809,0,42,3,0.0,17000.0,True,809,809,1,2,137 88 38 29,-1,,1312,1547,-235,1532,-240,15,13,-3,15,0.7336872931809447,0.0
5597,31034,1202938045,11301660,1310,0,43,1,0.0,31000.0,True,1310,1310,3,2,2 107 92 102,-1,,1467,1535,-68,1520,-85,15,14,-1,15,0.6260044235287854,0.0
5598,31035,1203008334,11301660,1357,0,44,0,1.0,18000.0,True,1357,1357,0,2,2 107 38 29,-1,,1368,1526,-158,1511,-175,15,13,-2,15,0.7531721519848701,1.0
5599,31036,1203056212,11301660,926,0,45,3,1.0,15000.0,True,926,926,3,2,155 163 162 81 29,-1,,1455,1531,-76,1515,-93,15,14,-1,15,0.5958154103881388,1.0
5600,31037,1203097271,11301660,426,0,46,0,1.0,15000.0,True,426,426,0,2,143 114 92 102,-1,,1525,1537,-12,1520,-46,15,15,-1,15,0.6473556535236801,1.0
5601,31038,1203153655,11301660,1313,0,47,3,0.0,17000.0,True,1313,1313,0,2,17 56 92 102,-1,,1525,1544,-19,1527,-39,15,15,-1,15,0.5061619357300975,0.0
5602,31039,1203217150,11301660,956,0,48,0,1.0,19000.0,True,956,956,0,2,69 148 32 92 29,-1,,1161,1536,-375,1518,-365,15,11,-4,15,0.8920953777766542,1.0
5603,31040,1203276259,11301660,668,0,49,3,1.0,17000.0,True,668,668,3,2,143 141 81 92,-1,,1528,1537,-9,1520,-30,15,15,-1,15,0.5309718915332753,1.0
5604,31041,1203338732,11301660,825,0,50,3,1.0,17000.0,True,825,825,3,2,62 90 100 81 29,-1,,1437,1545,-108,1527,-121,15,14,-2,15,0.6520206057500421,1.0
5605,31042,1203391025,11301660,572,0,51,3,1.0,24000.0,True,572,572,3,2,17 56 81 29,-1,,1340,1550,-210,1532,-217,15,13,-3,15,0.7789768430010391,1.0
5606,31043,1203427135,11301660,369,0,52,3,1.0,16000.0,True,369,369,3,2,143 105 38 102,-1,,1221,1553,-332,1535,-329,15,12,-4,15,0.903992233793142,1.0
5607,31045,1203713515,11301660,1313,0,54,0,1.0,16000.0,True,1313,1313,0,2,17 56 92 102,-1,,1525,1555,-30,1537,-49,15,15,-1,15,0.9429692314841068,1.0
5608,31046,1214499579,11301660,9283,0,37,3,0.0,20000.0,True,9283,9283,1,5,95,-1,,1574,1562,12,1505,49,15,15,0,15,0.4661636329226564,0.0
5609,31047,1414879118,11301660,8935,0,55,1,1.0,16000.0,True,8935,8935,1,5,53,-1,,1189,1555,-366,1499,-323,15,11,-4,14,0.8895127571323103,1.0
5610,31048,1414902057,11301660,5320,0,56,2,1.0,13000.0,True,5320,5320,2,5,79,-1,,1389,1557,-168,1501,-126,15,13,-2,15,0.7679266288049618,1.0
5611,31049,1414928634,11301660,8460,0,57,1,0.0,14000.0,True,8460,8460,0,5,128,-1,,1359,1561,-202,1506,-160,15,13,-3,15,0.7424477387211622,0.0
