timestamp,user_id,content_id,content_type_id,task_container_id,user_answer,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,bundle_id,correct_answer,part,tags,tag,type_of
0,1622540910,7900,0,0,0,1,,,7900,0,1,131 93 81,-1,
15071,1622540910,7876,0,1,3,1,16000.0,False,7876,3,1,10 94 92,-1,
39009,1622540910,175,0,2,0,0,12000.0,False,175,2,1,9 10 92,-1,
58323,1622540910,1278,0,3,3,1,22000.0,False,1278,3,2,143 140 81 29,-1,
119496,1622540910,2063,0,4,2,0,17000.0,False,2063,0,3,136 92 29,-1,
119496,1622540910,2065,0,4,2,1,17000.0,False,2063,2,3,136 162 92 29,-1,
119496,1622540910,2064,0,4,1,1,17000.0,False,2063,1,3,157 92 29,-1,
190464,1622540910,3364,0,5,2,0,19333.0,False,3363,1,4,136 103 29,-1,
190464,1622540910,3365,0,5,2,1,19333.0,False,3363,2,4,136 103 29,-1,
190464,1622540910,3363,0,5,1,0,19333.0,False,3363,3,4,74 103 29,-1,
247419,1622540910,2946,0,6,0,0,22333.0,False,2946,3,4,136 67 92,-1,
247419,1622540910,2948,0,6,0,1,22333.0,False,2946,0,4,136 67 92,-1,
247419,1622540910,2947,0,6,1,1,22333.0,False,2946,1,4,74 67 92,-1,
293757,1622540910,2594,0,7,2,1,18000.0,False,2593,2,4,161 103 102,-1,
293757,1622540910,2593,0,7,3,1,18000.0,False,2593,3,4,136 103 102,-1,
293757,1622540910,2595,0,7,0,1,18000.0,False,2593,0,4,82 103 102,-1,
305220,1622540910,4492,0,8,2,1,14666.0,False,4492,2,5,80,-1,
316679,1622540910,4120,0,9,0,1,7000.0,False,4120,0,5,123,-1,
330152,1622540910,4696,0,10,0,1,9000.0,False,4696,0,5,133,-1,
345108,1622540910,6116,0,11,0,0,10000.0,False,6116,3,5,23,-1,
358236,1622540910,6173,0,12,2,1,11000.0,False,6173,2,5,151,-1,
385346,1622540910,6370,0,13,0,0,10000.0,False,6370,2,5,79,-1,
469683,1622540910,6879,0,14,3,0,24000.0,False,6877,2,6,27,-1,
469683,1622540910,6877,0,14,3,0,24000.0,False,6877,2,6,96,-1,
469683,1622540910,6878,0,14,1,1,24000.0,False,6877,1,6,65,-1,
469683,1622540910,6880,0,14,0,1,24000.0,False,6877,0,6,73,-1,
633101,1622540910,7218,0,15,2,1,20250.0,False,7216,2,7,50 18 21,-1,
633101,1622540910,7216,0,15,3,1,20250.0,False,7216,3,7,97 50 21,-1,
633101,1622540910,7219,0,15,2,1,20250.0,False,7216,2,7,50 19 21,-1,
